Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,Water,11.395135039309649,9.915459522674203,0.8701484877949205
Physics-Informed Monte Carlo,Fat,10.946777379596881,9.14421539765467,0.8353340056680141
Physics-Informed Monte Carlo,Palmitic,4.134847305530675,3.6124500304964067,0.873659838820282
Physics-Informed Monte Carlo,Stearic,0.1677558713600054,0.21534060250924142,1.2836546391101795
Mcmc,Water,11.395135039309649,9.50055282503825,0.8337376250710778
Mcmc,Fat,10.946777379596881,9.295432007414549,0.8491478071655876
Mcmc,Palmitic,4.134847305530675,3.6849289932869334,0.891188651237026
Mcmc,Stearic,0.1677558713600054,0.21551688138606465,1.284705445114131
Regression,Water,11.395135039309649,9.43075565342163,0.8276124522340871
Regression,Fat,10.946777379596881,9.346236419759844,0.8537888453984457
Regression,Palmitic,4.134847305530675,3.698536059728755,0.8944794780648078
Regression,Stearic,0.1677558713600054,0.21814808600313523,1.3003901695636497
Variational Autoencoder,Water,11.395135039309649,7.627418518066406,0.6693574487493303
Variational Autoencoder,Fat,10.946777379596881,7.063691139221191,0.6452758555578952
Variational Autoencoder,Palmitic,4.134847305530675,2.795957326889038,0.6761936101362754
Variational Autoencoder,Stearic,0.1677558713600054,0.16956515610218048,1.01078522454986
Physics-Informed VAE,Water,11.395135039309649,9.456465944269604,0.8298687037624176
Physics-Informed VAE,Fat,10.946777379596881,9.155153102861291,0.836333176915162
Physics-Informed VAE,Palmitic,4.134847305530675,3.6843555964573302,0.8910499769917071
Physics-Informed VAE,Stearic,0.1677558713600054,0.2201621034231934,1.3123958144554226
