method,train_correlation_dist,test_correlation_dist,gap
physics_mc,0.12337703774290919,0.3347846449859657,0.21140760724305652
mcmc,0.1409894290321033,0.5002128976220194,0.35922346858991605
regression,0.286361030003393,0.5837880378585776,0.29742700785518456
vae,0.17022751888951662,0.5959467160624122,0.42571919717289564
hybrid_vae,0.12779551740832717,0.5596429349303335,0.4318474175220063
